koi_disposition,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_tce_plnt_num,koi_srad
FALSE POSITIVE,1,0,0,0,8.80854183,134.02712,0.993,34.7564,174.7,2.69,1000,137.3,1,1.21
CANDIDATE,0,0,0,0,6.60180003,137.476,0.204,2.624,213.4,1.25,875,8.1,1,0.86
FALSE POSITIVE,0,0,0,1,1.45728997,131.5882,0.749,3.582,71.3,0.93,1665,15.5,1,1.012
FALSE POSITIVE,0,0,1,0,21.8660922,138.517,0.057,2.03,301.6,1.88,730,9.2,1,1.077
CANDIDATE,0,0,0,0,382.5891,372.8314,0.042,11.7,298.2,2.15,305,10.5,1,1.239
FALSE POSITIVE,1,0,0,0,452.10093,460.4884,0.1063,12.69,464,2.08,254,6.2,1,0.956
FALSE POSITIVE,1,0,0,0,103.284757,147.79022,0.6314,1.674,78.4,1.96,583,5.5,1,2.101
CANDIDATE,0,0,0,0,32.4185265,161.4252,0.7105,5.154,110.7,1.62,687,7.9,1,1.441
CANDIDATE,0,0,0,0,2.28494301,132.92343,0.013,1.01,161.8,1,1180,10.6,1,0.789
FALSE POSITIVE,0,0,1,1,5.2439783,132.6829,0.82,10.1,93.5,1.03,1068,13.1,1,0.956
FALSE POSITIVE,0,1,0,0,3.989144446,132.572437,0.252,20.7947,630520,60.26,996,2055.9,1,0.719
FALSE POSITIVE,0,0,1,1,0.93374699,131.52406,1.167,6.168,172.1,103.98,3442,25.5,1,5.272
FALSE POSITIVE,0,1,0,0,45.43324862,159.870473,0.489,14.242,414350,77.25,529,1337,1,1.08
FALSE POSITIVE,0,0,0,1,2.03742712,131.5592,0.791,3.939,36,0.9,1812,11.4,1,1.358
FALSE POSITIVE,0,0,1,1,4.5638537,133.2096,0.9866,13.05,71.9,2.97,1533,16.8,1,2.39
FALSE POSITIVE,1,0,1,1,9.449438672,136.025779,1.243,5.5479,12867,60.59,1152,231.4,1,1.431
FALSE POSITIVE,1,0,0,0,15.92663277,145.5519669,0.672,7.42888,271860,57.95,670,2278.9,1,0.917
CANDIDATE,0,0,0,0,8.8324193,137.7004,0.185,2.252,74.1,0.98,999,8.1,1,1.133
FALSE POSITIVE,0,1,0,0,3.693702974,135.194906,1.19,3.37146,25208,62.55,1453,568.7,1,1.396
FALSE POSITIVE,0,1,0,0,67.41958542,133.431122,0.72,7.645,182170,49.46,470,836,1,0.962
FALSE POSITIVE,1,0,0,0,11.9283194,142.127,0.052,6.69,182.5,0.98,632,10.6,1,0.75
FALSE POSITIVE,0,1,0,0,10.303356,137.1682892,0.364,5.98633,520070,69.66,787,2039.1,1,0.9
FALSE POSITIVE,0,1,0,0,2.892087553,133.201742,1.062,3.16757,71631,47.55,1225,563.9,1,0.924
CANDIDATE,0,0,0,0,8.3613732,139.2515,0.067,3.649,104.7,0.79,793,9.5,1,0.777
CANDIDATE,0,0,0,0,12.9284553,137.18564,0.2446,2.49,297.9,0.64,343,8.2,1,0.375
CANDIDATE,0,0,0,0,3.74318005,135.13816,0.952,1.111,237.5,1.75,999,10.5,1,0.851
FALSE POSITIVE,0,1,0,0,106.1759381,234.6409876,0.718,10.4168,164740,54.91,441,7056.8,1,1.141
CANDIDATE,0,0,0,0,394.6781627,346.1399939,0.708,6.05443,253380,52.16,235,1500.7,1,0.83
FALSE POSITIVE,0,1,0,0,10.9938268,138.805226,0.471,5.0746,419210,52.69,627,469.5,1,0.743
FALSE POSITIVE,1,0,0,0,0.594276199,131.835238,4.038,2.0188,220740,266.99,1564,285.2,1,0.667
FALSE POSITIVE,1,0,1,0,45.5827119,138.6761,0.253,3.193,76.5,2.42,957,9.6,1,2.715
FALSE POSITIVE,0,1,1,1,2.858879267,134.17606,1.262,2.3753,644.5,515.07,3638,37.1,1,16.274
FALSE POSITIVE,0,1,1,0,0.603351522,131.98902,0.46,0.8358,164.1,3.91,3730,20.6,1,2.948
CANDIDATE,0,0,0,0,303.226376,344.05409,0.1097,1.802,1464,3.66,274,12.7,1,0.955
FALSE POSITIVE,1,0,0,0,37.7935113,167.4179,0.0794,1.718,67.2,0.89,592,6.9,1,1.076
CANDIDATE,0,0,0,0,8.67237968,132.55073,0.1385,2.826,99.1,0.87,825,12.3,1,0.882
FALSE POSITIVE,0,1,0,0,1.88984957,131.910944,1.182,19.45,249670,73.04,1221,401.5,1,0.716
FALSE POSITIVE,0,1,0,0,16.43435283,136.2884989,0.572,5.15682,45700,25.25,789,2171.4,1,1.134
FALSE POSITIVE,0,1,0,0,0.843651274,131.9478111,0.405,2.80468,305450,39.98,1553,1509.3,1,0.695
FALSE POSITIVE,0,1,0,0,17.44564047,135.7462627,0.588,6.08966,334160,63.46,682,4093.9,1,0.945
CANDIDATE,0,0,0,0,3.84615171,133.3817,0.153,2.24,137.1,1.14,1199,9.3,1,0.966
FALSE POSITIVE,1,0,1,1,0.61566096,131.8348,0.161,2.669,13.9,0.84,3459,8.5,1,2.23
FALSE POSITIVE,0,0,1,1,2.61844178,134.03782,0.182,3.203,45.1,2.16,2033,12.7,1,3.293
FALSE POSITIVE,0,1,0,0,19.40669392,149.807826,0.424,5.27765,464520,57.97,597,1496.8,1,0.778
CANDIDATE,0,0,0,0,4.84847245,131.90954,0.191,0.874,554.7,1.51,667,11.4,4,0.647
FALSE POSITIVE,0,1,0,0,24.26168383,147.2417593,0.814,7.1617,192280,58.48,659,5083.9,1,0.983
FALSE POSITIVE,0,1,0,0,8.667826242,137.3415297,0.822,5.06514,43491,37.51,1225,4638.1,1,1.538
FALSE POSITIVE,0,1,1,1,15.71377375,132.09973,0.864,7.464,9482,10.85,728,98.1,1,0.96
CANDIDATE,0,0,0,0,12.654896,134.6826,0.009,4.325,100.6,1.02,801,10.4,2,1.022
FALSE POSITIVE,0,0,1,1,2.97606298,132.9637,0.363,4.124,72.2,5.65,2615,17.8,1,6.669
CANDIDATE,0,0,0,0,5.8229815,133.999,0.395,2.8,281.6,1.36,914,8.1,1,0.804
FALSE POSITIVE,0,0,1,0,1.806631432,132.23663,0.536,1.102,217.5,1.05,1059,10.4,1,0.699
FALSE POSITIVE,1,0,0,1,0.91849333,131.8481,0.276,2.399,58.7,0.93,2205,13,1,1.193
CANDIDATE,0,1,0,0,0.76757669,131.819082,0.821,2.04757,157610,34.23,1530,431.3,1,0.627
FALSE POSITIVE,0,0,1,1,0.530972263,131.7212,1.079,3.653,48.6,9.32,2373,12.1,1,0.991
FALSE POSITIVE,0,1,0,0,3.481657589,134.1835162,0.245,4.75315,347010,78.24,1485,7428.7,1,1.291
CANDIDATE,0,0,0,0,279.036565,246.6289,1.198,31.92,395.2,30.25,323,31.7,1,1.273
FALSE POSITIVE,0,1,0,0,7.544804312,137.11963,1.266,8.2678,6501.7,63.99,1233,587.2,1,1.609
FALSE POSITIVE,0,1,0,0,20.42723232,135.862807,5.499,3.46429,121810,601.32,749,526.6,1,1.121
FALSE POSITIVE,0,1,1,0,0.364860478,132.07029,0.267,1.4736,112.6,0.68,1993,23.5,1,0.642
FALSE POSITIVE,1,0,0,0,379.63135,245.0035,0.1257,16.78,1036.2,1.67,168,13.8,1,0.527
FALSE POSITIVE,1,0,0,0,186.59466,317.713,0.1328,16.57,685,2.66,338,8.8,1,1.013
CANDIDATE,0,0,0,0,7.155547398,133.998101,0.883,4.5711,2568.8,48.93,2049,124.6,1,8.052
CANDIDATE,0,0,0,0,49.1782244,165.7659,0.315,5.8,449,1.79,468,9.4,1,0.839
CANDIDATE,0,0,0,0,22.7783121,145.96798,0.3499,1.037,155.6,1.89,863,7.3,1,1.477
FALSE POSITIVE,0,1,0,0,18.52782408,139.2576071,0.171,5.88678,76231,64.66,1080,5547.2,1,2.321
FALSE POSITIVE,0,1,0,0,63.52017525,162.163605,0.375,17.1759,32548,77.1,745,1708.1,1,4.33
FALSE POSITIVE,0,1,0,0,0.721624431,131.859672,0.855,2.54242,157750,40.61,1604,514.4,1,0.715
CANDIDATE,0,0,0,0,17.3816224,142.4067834,0.666,2.73456,59099,26.55,756,1149.7,1,1.02
FALSE POSITIVE,0,1,0,0,0.974477904,132.370903,1.252,2.69834,8846.9,618.37,5205,801.7,1,15.004
CANDIDATE,0,0,0,0,5.15998178,132.69545,1.306,3.356,412.4,19.07,574,9.9,1,0.534
FALSE POSITIVE,0,1,0,0,2.479948394,133.643169,0.67,5.7219,150680,35.62,1169,489.6,1,0.822
CANDIDATE,0,0,0,0,1.320499473,132.61488,0.15,1.184,204,18.94,4477,12,1,13.454
FALSE POSITIVE,0,1,0,0,8.947426242,132.0457395,0.517,4.89701,85995,45.87,1141,7878,1,1.506
FALSE POSITIVE,0,1,0,0,5.902596818,136.388994,0.168,5.5711,54894,25.8,1123,533.9,1,1.094
CONFIRMED,0,0,0,0,0.762132307,131.61542,0.399,1.22,63.7,0.75,1872,11.5,2,0.934
CANDIDATE,0,0,0,0,4.02664625,134.3954,0.094,3.771,30,0.68,1318,8.9,2,1.238
FALSE POSITIVE,0,1,0,0,4.318726936,131.605675,0.867,2.67349,59429,29.74,1091,394.4,1,0.916
FALSE POSITIVE,0,0,1,1,8.6532378,134.3027,0.359,2.974,126,0.96,793,9,1,0.854
FALSE POSITIVE,0,1,0,0,37.59406667,168.578815,1.197,8.9943,28618,43.08,554,485.8,1,0.917
CANDIDATE,0,0,0,0,2.68814059,132.66869,0.532,1.12,145.2,0.92,1135,9.1,1,0.734
FALSE POSITIVE,1,0,0,0,1.5765874,132.4469,1.04,15.18,29.2,15.68,2946,27.9,1,3.138
FALSE POSITIVE,0,1,0,0,1.387206724,132.8469146,0.856,3.82527,151430,103.41,2619,1752.6,1,1.894
FALSE POSITIVE,0,1,0,0,2.243015737,133.450825,0.661,4.31675,277950,92.34,1813,5552.2,1,1.444
FALSE POSITIVE,0,1,0,0,1.541530919,131.98454,0.759,4.8691,213260,115.49,2689,601.5,1,1.937
FALSE POSITIVE,0,1,1,0,0.523493764,131.6968,0.083,0.9015,54,1.82,3565,23.5,1,2.455
FALSE POSITIVE,1,0,0,0,27.765596,132.0878,0.069,19.49,147.6,1.2,605,14.2,1,0.999
CANDIDATE,0,0,0,0,21.1579573,150.5824,0.775,4.706,215.9,1.63,682,10.2,1,1.012
CANDIDATE,0,0,0,0,232.040326,262.2531,0.61,12.235,290.8,2.05,327,15.2,3,1.156
CONFIRMED,0,0,0,0,5.34264143,134.38122,0.021,2.453,691.3,1.72,799,19.9,1,0.67
CANDIDATE,0,0,0,0,11.8496351,140.3663,0.607,3.319,183.8,1.31,802,9.6,1,0.929
FALSE POSITIVE,0,1,0,1,0.733726452,132.02005,0.291,2.309,114.6,0.86,1867,13.8,1,0.797
FALSE POSITIVE,0,0,0,1,2.00383703,132.8086,0.268,3.473,42.3,0.67,1518,10.5,1,1.028
FALSE POSITIVE,1,0,0,1,0.566809491,131.79695,0.484,3.156,69.5,0.55,1656,21,1,0.654
FALSE POSITIVE,0,1,0,0,1.51264208,132.025984,1.192,1.871,23842,36.72,1357,262.6,1,0.811
CANDIDATE,0,0,0,0,6.933574,134.558,0.05,2.43,276.7,1.3,829,8,1,0.793
FALSE POSITIVE,0,1,0,0,0.691823991,131.57,0.3501,5.965,165.9,1.23,1878,18,1,0.962
CANDIDATE,0,0,0,0,3.773744,131.8309,0.9606,15.2,85.2,2.44,2001,5.7,2,2.069
FALSE POSITIVE,1,0,1,1,7.2949175,136.0798,1.132,41.04,182.8,11.67,763,18.9,1,0.731
FALSE POSITIVE,0,1,0,1,0.905677864,132.197687,1.321,2.2432,3670.4,325.51,3989,107.4,1,7.553
CANDIDATE,0,1,0,0,1.608363345,131.58432,0.608,2.1988,96134,19.36,1133,312.3,1,0.589
CANDIDATE,0,0,0,0,103.4269873,220.22869,0.013,5.03,950.1,3.16,416,17.8,1,1.024
FALSE POSITIVE,1,0,0,0,0.792023257,131.92896,0.205,3.2604,176.6,0.81,1300,49.6,1,0.625
FALSE POSITIVE,1,0,1,1,0.866344816,132.06358,0.318,1.9188,233.6,6.85,3569,46.5,1,4.527
FALSE POSITIVE,0,1,0,0,17.51191534,134.39065,0.008,5.678,728.8,52.64,2246,41,1,20.888
CANDIDATE,0,0,0,0,64.1983721,147.98378,0.347,0.934,248.2,1.74,506,6.8,1,1.077
FALSE POSITIVE,0,1,0,0,3.044771557,132.436907,0.295,11.0593,487820,231.93,2816,3684.9,1,3.163
FALSE POSITIVE,0,1,0,0,15.92699063,144.4526221,1.368,11.5142,394230,93.94,566,3458.3,1,0.65
FALSE POSITIVE,0,1,0,0,2.179924994,132.1293516,0.711,4.87581,253150,60.99,1448,4541.1,1,0.966
FALSE POSITIVE,1,0,0,0,231.364508,299.729,0.6598,4.747,1488,2.45,202,9.2,1,0.604
CANDIDATE,0,0,0,0,211.330867,244.953,0.055,4.66,531,2.09,300,7.5,1,0.911
FALSE POSITIVE,0,1,0,0,2.6228301,131.8572135,0.488,7.29719,409710,70.62,1403,5312.7,1,0.988
FALSE POSITIVE,1,0,0,0,399.49671,368.4202,0.0814,5.351,139.3,1.39,286,6.9,1,1.177
FALSE POSITIVE,1,0,0,0,117.684591,157.4182,0.4466,2.219,134.6,1.52,459,5.3,2,1.279
CANDIDATE,0,0,0,0,42.294739,133.8808,1.145,34.63,254.2,140.14,1083,25.2,1,7.849
CANDIDATE,0,0,0,0,17.3695112,136.6159,0.28,4.012,314,1.45,588,8.6,3,0.834
FALSE POSITIVE,0,1,0,0,3.454241684,131.711253,0.505,4.69505,88195,75.11,2010,6581.3,1,2.433
FALSE POSITIVE,1,0,1,1,0.566790294,131.83481,0.393,3.641,64,0.89,2432,22.6,1,1.093
FALSE POSITIVE,0,1,0,0,7.11879848,137.1575204,0.983,4.11282,107660,41.17,819,1483.2,1,0.754
FALSE POSITIVE,1,0,0,1,0.566801906,131.79673,0.155,1.626,89.7,0.55,1344,27,2,0.583
CANDIDATE,0,0,0,0,0.576732089,132.07378,0.518,1.856,35.4,0.43,1537,9.1,1,0.717
CANDIDATE,0,0,0,0,7.1969168,133.4145,0.502,4.525,47.1,1.1,1132,10.4,1,1.575
FALSE POSITIVE,0,0,1,1,1.75643185,132.0575,0.115,2.397,51.6,0.58,1366,9.6,1,0.812
FALSE POSITIVE,0,1,0,0,60.2976774,161.854691,0.596,14.2561,315890,63.57,481,1215.8,1,0.977
FALSE POSITIVE,0,1,0,0,2.521245368,132.8563627,0.231,4.24027,418380,56.59,1241,1495.4,1,0.854
FALSE POSITIVE,0,1,1,0,0.892061734,131.815603,1.079,2.24307,75590,46.75,1724,398.1,1,0.855
FALSE POSITIVE,0,1,0,0,73.89416352,159.9005068,0.27,9.48995,213900,39.18,392,3902.3,1,0.841
FALSE POSITIVE,0,1,0,0,9.455586047,133.670388,0.791,8.42272,115170,178.47,1972,1876.9,1,4.24
FALSE POSITIVE,0,0,1,1,1.23516416,131.99301,0.678,4.713,64.6,0.92,1866,13,1,1.076
FALSE POSITIVE,0,1,0,0,32.00381564,136.49482,1.226,4.31197,17120,180.25,960,711.4,1,4.062
FALSE POSITIVE,1,0,0,0,14.19984009,135.748091,0.772,5.98531,214600,85.76,907,1408.6,1,1.414
FALSE POSITIVE,0,0,1,1,2.17814186,132.02946,0.012,1.988,127.7,0.92,1174,11.2,1,0.84
FALSE POSITIVE,1,0,1,1,3.72273683,134.6473,0.52,8.552,37.8,0.52,1104,14.7,1,0.819
FALSE POSITIVE,0,0,1,1,1.540399732,131.99296,0.106,1.63,57.6,0.58,1312,14.8,1,0.784
FALSE POSITIVE,1,0,0,0,588.10504,289.5538,0.3168,15.474,326.6,1.77,231,11,1,0.965
FALSE POSITIVE,1,0,0,0,214.715417,275.49823,0.981,34.146,5211.2,71.79,602,161.3,1,5.826
FALSE POSITIVE,0,1,0,0,6.8072842,135.5474,0.923,1.9477,14578,31.15,1156,32.9,1,1.824
FALSE POSITIVE,1,0,1,1,12.42592247,141.54848,0.885,31.5,8707.6,79.21,1547,190.8,1,6.952
FALSE POSITIVE,0,1,0,0,5.554227226,135.16203,0.174,4.77434,142310,31.71,930,1517.7,1,0.843
FALSE POSITIVE,1,0,0,1,0.566801506,131.7969,0.369,1.738,29.5,0.62,2557,19.2,1,1.111
FALSE POSITIVE,0,0,1,0,0.948683571,131.88901,0.691,1.676,150.9,1.12,1665,13.8,1,0.852
FALSE POSITIVE,0,1,0,0,3.258249472,134.59656,1.264,2.6358,1643.5,79.23,2057,202,1,2.361
FALSE POSITIVE,0,1,0,0,4.608901433,133.9949845,0.386,8.73393,378550,48.72,1007,2624.6,1,0.755
CANDIDATE,0,0,0,0,1.74336627,132.8574,1.855,10.405,451,140.49,2029,20.8,1,1.478
CANDIDATE,0,0,0,0,5.60682001,135.84466,0.156,2.714,150.7,1.04,942,9.9,1,0.853
FALSE POSITIVE,0,1,0,0,2.630090609,132.224741,0.285,13.6817,516930,83.5,1551,1694.6,1,1.108
FALSE POSITIVE,0,1,0,0,37.87848359,138.128618,0.763,10.5972,222230,46.42,503,1157.6,1,0.758
FALSE POSITIVE,0,1,0,0,3.693951168,133.61052,0.917,2.2534,28290,20.88,1148,173.2,1,0.881
FALSE POSITIVE,0,1,0,0,5.579631021,133.5534687,1.323,3.38646,118320,90.32,1108,1268.7,1,1.022
FALSE POSITIVE,0,1,0,0,26.95123768,150.923211,1.04,8.27486,86749,146.33,1082,1451.7,1,2.747
FALSE POSITIVE,1,0,0,0,611.09299,134.3101,0.2171,15.22,270,1.53,215,12.2,1,0.929
FALSE POSITIVE,0,1,1,0,5.462689263,134.26516,1.298,3.2605,4184.6,36.25,1024,82.6,1,0.888
FALSE POSITIVE,0,1,1,0,1.039370613,131.62419,0.976,1.0713,743.6,12.6,3320,182.9,1,3.137
FALSE POSITIVE,0,1,0,0,11.56797473,137.3409726,0.458,5.96595,416030,45.65,628,2341.5,1,0.648
FALSE POSITIVE,0,0,1,1,7.51509713,138.09408,0.934,2.62,187.1,1.23,685,10.1,1,0.696
FALSE POSITIVE,0,1,0,0,3.50474265,133.319536,1.049,8.2852,88625,200.24,2689,977.2,1,3.682
FALSE POSITIVE,0,1,0,0,7.09520543,135.3715105,0.778,3.69044,232680,50.23,813,1959.2,1,0.778
CANDIDATE,0,0,0,0,486.77832,529.0865,0.1737,15.29,370.8,9.3,409,10.4,1,4.95
FALSE POSITIVE,0,1,1,1,25.9493253,155.024,0.655,12.17,354.5,1.04,409,13.1,1,0.526
CANDIDATE,0,0,0,0,198.6004,163.566,0.648,3.53,300.8,4.6,458,9.8,1,2.522
FALSE POSITIVE,1,0,0,0,559.28332,228.2959,0.3058,4.245,1360,2.54,150,6.7,1,0.709
FALSE POSITIVE,1,0,0,0,171.69799,221.34517,0.2266,2.904,878,39.78,878,7.7,1,13.679
FALSE POSITIVE,1,0,0,0,142.685885,175.9722,0.1086,3.792,1195,2.76,319,9.3,3,0.799
FALSE POSITIVE,0,0,1,0,4.08029328,131.7047,0.2428,2.8343,1128.4,2.92,1044,43.1,2,0.874
CANDIDATE,0,0,0,0,11.83271013,137.5928634,0.548,6.152,176.3,1.17,728,12.7,1,0.859
FALSE POSITIVE,1,0,0,0,297.113395,309.1459,0.0322,4.529,275.4,5.37,509,10.1,2,3.206
FALSE POSITIVE,0,1,0,0,15.32763411,134.92291,1.204,6.0662,17749,291.01,1472,117,1,6.784
FALSE POSITIVE,0,1,0,0,1.489442254,132.0042975,0.455,5.51392,417900,115.45,2328,2309.2,1,1.62
CANDIDATE,0,0,0,0,21.980467,150.728,0.417,4.78,96,0.92,625,10.1,1,0.936
FALSE POSITIVE,0,0,1,1,0.933746709,132.4539,0.057,3.435,18.6,0.36,1893,14.3,1,0.815
FALSE POSITIVE,1,0,0,0,677.35794,234.634,0.8359,9.698,322.4,7.12,388,11.2,2,3.523
CANDIDATE,0,0,0,0,3.33930957,134.15098,0.934,2.597,91.3,1.2,1205,10.7,3,1.006
CONFIRMED,1,0,0,0,3.87594316,134.84758,0.025,2.314,58.6,0.68,1081,14.2,1,0.893
FALSE POSITIVE,0,1,0,0,9.524076544,134.803805,0.313,10.4891,198400,151,1390,1942.5,1,3.371
FALSE POSITIVE,1,0,0,1,12.422524,141.875,0.566,13.55,33.9,0.86,1107,6.7,1,1.414
FALSE POSITIVE,0,1,0,0,53.220417,138.5798799,0.248,17.7344,72895,55.22,655,4563.5,1,2.057
FALSE POSITIVE,0,1,0,0,1.559360638,132.53955,0.647,5.4458,280070,94.2,2234,419.9,1,1.488
FALSE POSITIVE,0,1,0,0,21.14245855,138.3916328,0.971,5.17846,73961,41.68,672,3830.9,1,0.945
CANDIDATE,0,0,0,0,3.39401963,134.37164,0.166,2.984,98.4,1.03,1306,10,1,1.029
CANDIDATE,0,0,0,0,6.63448023,137.0694,0.116,3.603,71.2,1.04,1177,10.3,1,1.225
FALSE POSITIVE,0,1,0,0,21.53926924,144.1542761,0.908,5.32432,143750,53,674,2642.2,1,0.933
CANDIDATE,0,0,0,0,11.7728146,138.78586,0.407,4.132,77.1,0.93,788,9.9,1,1.056
FALSE POSITIVE,1,0,0,0,1.20693963,132.63953,0.701,6.881,20,0.97,2847,24.3,1,2.041
FALSE POSITIVE,1,0,0,0,1.013922622,132.414157,1.178,1.6393,34957,31.98,1392,79.8,1,0.647
FALSE POSITIVE,1,0,0,0,0.691561191,131.6477,1.0183,5.23,1901,5.91,1460,3.4,1,0.586
FALSE POSITIVE,0,1,0,0,0.676990194,131.8017098,1.223,1.69459,20506,37.5,1919,997,1,0.816
FALSE POSITIVE,1,0,0,0,533.6593,375.228,0.1083,12.81,533.5,1.92,205,7.8,1,0.839
FALSE POSITIVE,0,1,0,0,472.2265706,363.713605,0.876,4.8732,156140,48.18,217,584.6,1,0.842
FALSE POSITIVE,1,0,0,0,392.72811,371.411,0.4505,12.48,499.7,1.85,226,12,1,0.815
CANDIDATE,0,0,0,0,140.884533,243.1411,0.013,10.245,158,1.52,392,16.4,1,1.213
FALSE POSITIVE,1,0,0,0,66.247851,162.2694,0.2847,4.04,666,16.67,925,8.3,1,6.519
CANDIDATE,0,0,0,0,20.5142642,148.7293,0.256,3.524,153.2,1.14,598,9,1,0.936
FALSE POSITIVE,0,1,0,0,4.592401261,133.139791,0.272,4.96038,87426,52.18,1678,5784.8,1,1.724
CANDIDATE,0,0,0,0,9.13315062,139.9861,0.275,2.1557,231.2,1.48,900,23,1,0.964
FALSE POSITIVE,1,0,0,0,10.4032399,138.18443,1.296,23.85,1056.2,51.47,1104,272.8,1,1.436
CANDIDATE,0,0,0,0,8.47484677,138.47733,0.872,2.067,217.8,1.35,780,9.7,1,0.785
FALSE POSITIVE,1,0,1,0,0.503201954,131.78436,0.3279,0.167,43,2.99,3550,8,1,2.306
FALSE POSITIVE,1,0,0,0,593.19521,333.732,0.6192,25.65,227.3,1.63,234,7.1,1,1.03
FALSE POSITIVE,0,1,0,0,1.307761491,131.777769,1.237,2.22271,13941,29.17,1298,531.5,1,0.673
FALSE POSITIVE,1,0,0,0,1.7609276,132.30263,0.29,5.189,57.3,1.53,2860,26.1,1,1.967
FALSE POSITIVE,1,0,1,0,0.592618966,132.09892,0.083,0.811,91.4,0.86,2103,14.9,1,0.887
FALSE POSITIVE,1,0,0,1,0.566796331,131.8335,0.981,5.194,114.8,1.5,2411,33.3,1,1.032
FALSE POSITIVE,1,0,0,1,0.566793614,131.65376,0.9476,5.723,31.4,21.63,7584,79.8,1,27.384
FALSE POSITIVE,0,1,0,0,439.1076969,222.7449,0.7777,26.2259,69792,24.7,221,884.9,1,0.811
FALSE POSITIVE,0,1,0,0,10.81589054,139.7935811,0.219,4.73495,45400,32.48,1086,4313.4,1,1.508
FALSE POSITIVE,0,1,0,0,2.991884392,134.175892,0.496,7.5583,123880,40.11,1486,1280.3,1,1.094
FALSE POSITIVE,0,0,1,1,0.759755409,131.79602,0.455,2.734,70,0.91,2121,15.9,1,1.071
FALSE POSITIVE,0,0,1,1,0.93891532,131.83424,0.069,2.134,39.1,1.13,2667,8.2,1,1.797
FALSE POSITIVE,1,0,0,1,1.140133012,132.34077,1.181,9.251,223.2,126.77,4370,63.4,1,5.97
FALSE POSITIVE,0,1,1,0,1.208524388,131.985195,1.259,1.8478,4759.6,26.71,1286,181.3,1,0.701
FALSE POSITIVE,0,1,0,0,5.197420145,132.5674705,1.025,6.78534,91307,81.49,1416,4262.1,1,1.528
FALSE POSITIVE,1,0,0,0,0.562006231,132.0289,0.678,3.496,14.2,0.58,2978,12.8,1,1.455
FALSE POSITIVE,0,1,0,0,14.31315739,138.2205171,0.004,8.90236,21567,34.98,1144,4262.9,1,2.379
FALSE POSITIVE,1,0,1,1,0.580724809,131.72956,0.292,1.82,64.2,0.75,2191,16.9,1,0.933
FALSE POSITIVE,1,0,0,0,2.53021,132.0918,1.275,21.79,367.9,41.44,1543,24.2,1,1.296
CONFIRMED,0,0,0,0,23.6223571,146.9643,0.369,6.852,57,1.07,797,11.4,1,1.393
CONFIRMED,0,0,0,0,31.827649,134.59995,0.785,1.639,520,4.98,668,16.4,1,1.954
CANDIDATE,0,0,0,0,3.226232203,134.41924,0.145,0.4022,36.3,1.01,1620,9.9,1,1.437
CANDIDATE,0,0,0,0,5.29655591,131.8704,0.37,3.93,135.4,1.3,1156,9.3,1,1.1
FALSE POSITIVE,0,0,1,0,0.379412331,131.61159,0.243,1.561,594,1.59,1643,20.2,1,0.666
FALSE POSITIVE,1,0,0,0,0.75509861,131.962107,1.091,2.6423,60334,60.74,2359,385.4,2,1.213
FALSE POSITIVE,0,1,0,0,0.594003994,132.07059,0.4978,5.557,25.4,1.55,4952,51.1,1,2.968
FALSE POSITIVE,1,0,0,0,183.836254,149.3728,0.956,13.088,1046.2,51.64,852,15.7,1,11.963
CANDIDATE,0,0,0,0,392.601892,496.9922,0.713,3.21,779,2.25,204,7.8,1,0.753
FALSE POSITIVE,1,0,0,0,351.204993,184.9276,0.777,22.414,1257.9,3.57,258,21.3,1,0.918
FALSE POSITIVE,0,1,0,0,8.460438928,133.7744903,1.061,4.73492,76413,36.62,804,1797.4,1,0.702
FALSE POSITIVE,0,1,1,0,0.958116585,132.052919,1.275,2.3496,2374.1,49.16,2271,296,1,1.365
FALSE POSITIVE,0,0,1,0,0.555973803,131.96589,0.563,1.271,75.3,1.9,3049,23.3,1,2.117
FALSE POSITIVE,0,1,0,0,1.992098705,132.891052,1.069,4.03833,69414,45.85,1435,1186,1,0.9
FALSE POSITIVE,0,0,1,0,2.2227289,131.895,0.254,2.617,279.1,34.14,4454,10.5,1,20.848
FALSE POSITIVE,0,1,1,0,0.542122617,131.98408,0.108,1.283,88.3,0.94,2238,16.3,1,0.998
FALSE POSITIVE,0,1,1,1,0.73975345,131.81739,0.525,4.2,481.8,2.09,1818,86.2,1,0.935
FALSE POSITIVE,0,0,1,0,8.39140024,139.02864,0.342,1.193,134.4,1.1,921,9.2,1,0.935
FALSE POSITIVE,0,1,0,0,352.710091,251.1931,0.329,2.901,1658,3.75,261,9.6,1,0.908
FALSE POSITIVE,1,0,0,0,0.532493086,131.90244,0.558,2.145,19.9,1.87,4893,8.9,1,4.032
FALSE POSITIVE,0,0,1,0,1.41435861,132.69838,0.189,2.285,56.8,0.74,1578,9.5,1,0.994
FALSE POSITIVE,0,0,1,0,0.812678859,132.20817,0.664,0.841,39.3,0.83,2403,7.4,1,1.236
FALSE POSITIVE,0,1,1,1,8.4879444,176.92505,0.752,3.224,119.3,1.23,969,19.5,1,1.039
FALSE POSITIVE,0,0,1,0,1.63345402,181.8556,1.19,3.817,359,24.87,1750,7.4,1,1.091
CANDIDATE,0,0,0,0,28.64338839,141.22933,0.968,1.2246,624.3,5.82,871,23.1,1,1.767
